2023-12-24 15:06:27 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2023-12-24 15:06:28 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.9 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-12-24 15:06:28 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-12-24 15:06:39 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=17706987-fc8d-3b43-9a8f-e87955552d29
2023-12-24 15:06:41 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8888 (http)
2023-12-24 15:06:42 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-12-24 15:06:42 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-12-24 15:06:42 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
2023-12-24 15:06:42 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-24 15:06:42 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 12360 ms
2023-12-24 15:06:48 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7889b4b9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1e545821, org.springframework.security.web.context.SecurityContextHolderFilter@6b321262, org.springframework.security.web.header.HeaderWriterFilter@319642db, org.springframework.web.filter.CorsFilter@12952aff, org.springframework.security.web.csrf.CsrfFilter@7069f076, org.springframework.security.web.authentication.logout.LogoutFilter@4f281aaf, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@cbd40c1, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7d0100ea, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@357bc488, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@76a7fcbd, org.springframework.security.web.access.ExceptionTranslationFilter@77b3752b, org.springframework.security.web.access.intercept.AuthorizationFilter@50b734c4]
2023-12-24 15:07:03 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-12-24 15:07:03 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8888 (http) with context path ''
2023-12-24 15:07:03 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 41.291 seconds (process running for 49.667)
2023-12-24 15:26:46 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-12-24 15:26:46 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-12-24 15:26:46 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2023-12-24 15:26:46 [http-nio-8888-exec-1] WARN  o.s.w.s.h.HandlerMappingIntrospector - Cache miss for REQUEST dispatch to '/actuator/health' (previous null). Performing CorsConfiguration lookup. This is logged once only at WARN level, and every time at TRACE.
